merchant_id,ramp_up_date,rampup_100_percent_flag,blacklisted_flag
4uBYoaxgEV9Vpq,2024-06-13,false,false
E9UpEHyrmX5DED,2024-06-13,false,false
GkSHw8q1iN50Sa,2024-06-13,false,false
Cv1SkT6jUxHfvd,2024-06-13,false,false
F02CbvUSkdbaXI,2024-06-13,false,false
FknkBd3fAlthf8,2024-06-21,false,false
DJCaJfMaCl9RyI,2024-06-13,false,false
JP6Dflx7DQpIPi,2024-06-13,false,true
4jrfbTLsua1pWJ,2024-06-13,false,false
GZTzJZSx7gbgaK,2024-06-13,false,false
JG0LJ5mF8MvtGG,2024-06-21,false,false
7TGWbqGVhcInG3,2024-06-21,false,false
DC7pM1IYPL7GYd,2024-06-13,false,false
6lbG682Y5XAgSn,2024-06-21,false,false
KJdBNzFiN0Oy6q,2024-06-13,false,true
MmZciAqy0PheYx,2024-06-13,false,false
MTr96ia0uL5PIP,2024-06-21,false,false
H8BiBSQGLoXjZ3,2024-06-13,false,false
HKAiDoSYRZqh8H,2024-06-13,false,false
FYPavFGX8IajND,2024-06-13,false,false
EehlOEgPnDKRjd,2024-06-13,false,false
Myqr9RmCVsg7po,2024-06-13,false,false
8D3cH11IkiIW2I,2024-06-21,false,false
HOmhk4YMnCKFiw,2024-06-21,false,false
Nelh6ElUTe2aeR,2024-06-13,false,false
HHNnWSxnImX7iX,2024-06-21,false,false
IZ1dHfPREVDPG9,2024-06-13,false,false
Lc4jRu7a7bVUqA,2024-06-21,false,false
GhfJxdKxGooPEb,2024-06-13,false,false
C4Z6FTJxN2oQxz,2024-06-21,false,false
FATkFIucVV2EOq,2024-06-21,false,false
IrvmT3KWRTE1gQ,2024-06-13,false,false
O3XtehBmodUS83,2024-06-21,false,false
N2a96iGaHnsJFA,2024-06-13,false,false
EfweNyILIkXVDk,2024-06-13,false,false
Gzarrci9oNsBf8,2024-06-13,false,false
GX2Z0I7L07K19g,2024-06-21,false,true
IA177VYr7hWlRX,2024-06-21,false,false
Nsc5hX4wFtyyco,2024-06-13,false,false
BAg276a7KMS9Yg,2024-06-21,false,false
DjNgMggHF2PV41,2024-06-13,false,false
BzG8aSeTWzqT2g,2024-06-21,false,false
ItVYxiANuDfXYQ,2024-06-21,false,false
Niayem76EXspzJ,2024-06-13,false,false
HACWFlggS40UU0,2024-06-21,false,false
FSIcHE8C0UZNrF,2024-06-13,false,false
D4eVZu8JHU8vGp,2024-06-21,false,false
Im5dzOcdW1fLRs,2024-06-21,false,false
HwWV7hVYCMBaQ7,2024-06-13,false,false
ITvK5QWhadYwKL,2024-06-13,false,false
Dn13QxicVSLCpe,2024-06-21,false,false
Lhgq8qdBnVbnCl,2024-06-13,false,false
FW4bZvHViqY0BX,2024-06-21,false,false
F2uFUzIkyA6hxY,2024-06-13,false,false
7qpQBAk3nr2GdR,2024-06-13,false,false
EU0yxNhF0d5MvZ,2024-06-21,false,false
D7VrtBeF7xDvQf,2024-06-13,false,false
DTraEL7ZTOqKSO,2024-06-21,false,false
5l2n5V0SSgH2SP,2024-06-21,false,false
FLtX4NYXgEuqE6,2024-06-21,false,false
CNOEfyBJhnqTD9,2024-06-13,false,false
HaleofoDWgLTEk,2024-06-13,false,false
IBWwPAEArsm6mD,2024-06-13,false,false
FUXo4svUklA7B8,2024-06-21,false,false
IcWFjuwPzwM1RI,2024-06-21,false,false
HmAGSJxvVmKv66,2024-06-13,false,false
NBJFygGWa7b6d6,2024-06-21,false,false
HIXFXxrmsrMJNd,2024-06-13,false,false
NMDUYDYjTmYfvX,2024-06-13,false,false
IrnjTI2cbvK81m,2024-06-13,false,false
NFLospHntNLu0m,2024-06-21,false,false
CgzcPMVL2WaPFx,2024-06-21,false,false
NnMttt7RfnRJl5,2024-06-21,false,false
Ngy7o7NCXFLEsj,2024-06-13,false,false
CTieYUmbWJxBP0,2024-06-13,false,false
Hn8SU1EUZUhLP2,2024-06-13,false,false
Lsz5E01aNXr23H,2024-06-13,false,false
NESh1vneDqksQp,2024-06-13,false,false
GPBFtgXx2iqAkg,2024-06-13,false,false
NFgUsO6vKSW7J9,2024-06-13,false,false
DI112nSBXvwIAQ,2024-06-21,false,false
ElOE9P6yhP9b61,2024-06-13,false,false
NbfHeycgVabNeb,2024-06-13,false,false
NPwXs6yojWcFQU,2024-06-13,false,false
JD1tkK3BmGmzZi,2024-06-13,false,false
KJH1LV9hjUZsoi,2024-06-21,false,false
NkiFOY1G5PvAye,2024-06-13,false,false
D8VnnOf8psg496,2024-06-21,false,false
Hb8cndXtVxitd4,2024-06-13,false,false
KrMdvKTonEvHh4,2024-06-13,false,false
NNgLB78z8sYAHR,2024-06-13,false,false
NRYOBIJFoMeW3L,2024-06-21,false,false
IH9ppMhLNrifzh,2024-06-13,false,false
A2gesP44fvidgy,2024-06-13,false,false
KLF6OO9Q85jt3E,2024-06-13,false,false
LfWj0wUwbV6HZf,2024-06-13,false,false
DlGso2VcV7sFvS,2024-06-21,false,false
HCW6GzLn2j2oqC,2024-06-21,false,false
